StationName,StationID,StationIDGrouped,RailwayName,NumberOfDirections,RailwayID,OperationCategory,PeakHourFq,PeakHourFq_less,RefStation,RefDirection,DailyFq,TransitType
住吉,566,3704,10号線新宿線,2,1,普通,16,13,住吉,新宿,,T
森下,565,3711,10号線新宿線,2,1,急行,17,14,森下,新宿,,T
浜町,563,3706,10号線新宿線,2,1,普通,16,14,浜町,新宿,,T
菊川,556,3709,10号線新宿線,2,1,普通,16,13,菊川,新宿,,T
馬喰横山,562,3675,10号線新宿線,2,1,急行,17,14,馬喰横山,新宿,,T
住吉,493,3704,11号線半蔵門線,2,2,普通,19,19,錦糸町,渋谷,,T
押上,488,3526,11号線半蔵門線,1,2,普通,19,19,錦糸町,渋谷,,T
清澄白河,498,3754,11号線半蔵門線,2,2,普通,19,19,錦糸町,渋谷,,T
錦糸町,489,3639,11号線半蔵門線,2,2,普通,19,19,錦糸町,渋谷,,T
両国,571,3646,12号線大江戸線,2,3,普通,15,13,清澄白河,大門・六本木,,T
森下,593,3711,12号線大江戸線,2,3,普通,15,13,清澄白河,大門・六本木,,T
清澄白河,598,3754,12号線大江戸線,2,3,普通,15,13,清澄白河,大門・六本木,,T
蔵前,573,3571,12号線大江戸線,2,3,普通,15,13,清澄白河,大門・六本木,,T
人形町,518,3721,1号線浅草線,2,4,普通,22,21,蔵前,押上,,T
押上,506,3526,1号線浅草線,1,4,特快,23,21,浅草,押上,,T
本所吾妻橋,504,3538,1号線浅草線,2,4,普通,22,21,蔵前,押上,,T
東日本橋,516,3676,1号線浅草線,2,4,特快,23,21,浅草,押上,,T
浅草,502,3522,1号線浅草線,2,4,特快,23,21,浅草,押上,,T
浅草橋,505,3636,1号線浅草線,2,4,普通,22,21,蔵前,押上,,T
蔵前,503,3571,1号線浅草線,2,4,普通,22,21,蔵前,押上,,T
人形町,353,3721,2号線日比谷線,2,5,普通,26,21,人形町,中目黒,,T
浅草,363,3522,3号線銀座線,1,6,普通,22,22,田原町,渋谷,,T
田原町,366,3530,3号線銀座線,2,6,普通,22,22,田原町,渋谷,,T
亀戸,844,3635,亀戸線,1,7,普通,9,8,東あずま,曳舟,,T
亀戸水神,845,3610,亀戸線,2,7,普通,9,8,東あずま,曳舟,,T
小村井,843,3525,亀戸線,2,7,普通,9,8,東あずま,曳舟,,T
曳舟,841,3479,亀戸線,1,7,普通,9,8,東あずま,曳舟,,T
東あずま,842,3548,亀戸線,2,7,普通,9,8,東あずま,曳舟,,T
とうきょうスカイツリー,836,3524,伊勢崎線,2,8,区間急行,7,6,鐘ヶ淵,浅草,,T
堀切,828,3297,伊勢崎線,2,8,区間急行,7,6,鐘ヶ淵,浅草,,T
押上,860,3526,伊勢崎線,1,8,急行,8,,押上,曳舟,,T
曳舟,834,3479,伊勢崎線,2,8,準急,14,9,曳舟,伊勢崎,,T
東向島,835,3442,伊勢崎線,2,8,区間急行,7,6,鐘ヶ淵,浅草,,T
浅草,830,3522,伊勢崎線,1,8,区間急行,7,6,鐘ヶ淵,浅草,,T
牛田,840,3288,伊勢崎線,2,8,区間急行,7,6,鐘ヶ淵,浅草,,T
鐘ヶ淵,829,3355,伊勢崎線,2,8,区間急行,7,6,鐘ヶ淵,浅草,,T
浅草,137,3502,常磐新線,2,9,普通,23,22,浅草,つくば,,T
京成曳舟,90,3477,押上線,2,10,普通,20,11,八広,成田空港,,T
八広,92,3422,押上線,2,10,普通,20,11,八広,成田空港,,T
四ツ木,93,3376,押上線,2,10,普通,20,11,八広,成田空港,,T
押上,91,3526,押上線,1,10,普通,20,11,八広,成田空港,,T
京成関屋,98,3290,本線,2,11,普通,10,8,京成関屋,成田空港,,T
堀切菖蒲園,99,3273,本線,2,11,普通,10,8,京成関屋,成田空港,,T
両国,730,3654,総武線,2,12,普通,18,17,錦糸町,三鷹,,T
亀戸,725,3635,総武線,2,12,普通,18,17,錦糸町,三鷹,,T
平井,726,3561,総武線,2,12,普通,18,17,錦糸町,三鷹,,T
浅草橋,723,3636,総武線,2,12,普通,18,17,錦糸町,三鷹,,T
錦糸町,724,3639,総武線,2,12,普通,18,17,錦糸町,三鷹,,T
馬喰町,731,3668,総武快速線,2,13,普通,14,13,錦糸町,東京,,T
錦糸町,724,3639,総武快速線,2,13,普通,14,13,錦糸町,東京,,T